Board,Category,Refs,Qty,Orderable MPN,Mfr,Quote USD,Ext USD,Source 1,P1,Source 2,P2,Source 3,P3,Notes
Amp,Output NPN,Q112 Q113 Q212 Q213 Q312 Q313,6,NJW0281G,onsemi,5.12,30.72,DigiKey,5.12,Mouser / Newark,3.06,Arrow,2.59,Authorized onsemi only. DigiKey also lists EVVO $4.57 and Inmark $6.50 clones — do not use those. LCSC $1.05 is Minos, same warning.
Amp,Output PNP,Q114 Q115 Q214 Q215 Q314 Q315,6,NJW0302G,onsemi,4.86,29.16,DigiKey,4.86,Mouser,4.04,Farnell,4.67,Complement of NJW0281G. Buy extras for bring-up (not in this qty).
Amp,Driver NPN,Q110 Q210 Q310,3,MJE15032G,onsemi,1.58,4.74,Mouser,1.35,DigiKey / Avnet,1.58,LCSC (onsemi),0.92,Heatsink mounted.
Amp,Driver PNP,Q111 Q211 Q311,3,MJE15033G,onsemi,1.50,4.50,Mouser,1.50,LCSC (onsemi),0.90,Newark,1.60,Heatsink mounted.
Amp,VAS / predriver NPN,Q105 Q108 Q107 Q205 Q208 Q207 Q305 Q308 Q307,9,"TTC004B,Q",Toshiba,1.10,9.90,DigiKey,1.10,Mouser,0.99,LCSC (Toshiba),0.68,TO-126N. Compensation is designed for this Cob. Q107/207/307 on heatsink.
Amp,VAS / predriver PNP,Q106 Q109 Q206 Q209 Q306 Q309,6,"TTA004B,Q",Toshiba,0.88,5.28,DigiKey,0.88,LCSC (Toshiba),0.73,Mouser,0.85,Complement of TTC004B.
Amp,LTP dual PNP,Q101 Q201 Q301,3,"BCM857BS,115",Nexperia,0.45,1.35,DigiKey,0.45,Mouser,0.42,LCSC (Nexperia),0.22,SOT-363 matched dual.
Amp,Mirror dual NPN,Q103 Q203 Q303,3,"BCM847BS,115",Nexperia,0.45,1.35,DigiKey,0.45,Mouser,0.42,LCSC (Nexperia),0.22,SOT-363 matched dual.
Amp,Tail PNP,Q102 Q202 Q302,3,"BC857C,215",Nexperia,0.10,0.30,DigiKey,0.10,Mouser,0.09,LCSC,0.03,SOT-23.
Amp,VAS enhancer NPN,Q104 Q204 Q304,3,"BC847C,215",Nexperia,0.10,0.30,DigiKey,0.10,Mouser,0.09,LCSC,0.03,SOT-23.
Amp,Bias clamp,D103 D203 D303,3,BZX84C5V1LT1G,onsemi,0.08,0.24,DigiKey,0.08,Mouser,0.07,LCSC (Nexperia BZX84-C5V1),0.03,SOT-23 5.1V.
Amp,LED Vref,D101 D102 D201 D202 D301 D302,6,LTST-C170CKT,Lite-On,0.14,0.84,DigiKey,0.14,Mouser,0.12,LCSC 0805 red,0.04,0805 red ~1.8 Vf. Colour is the spec — do not substitute.
Amp,Line receiver dual,U101,1,INA1650IPW,TI,6.00,6.00,DigiKey,6.00,Mouser,5.80,LCSC (TI),4.50,TSSOP-14. INA1650IPWR reel is cheaper (~$2.80) if you can use cut tape from a reel.
Amp,Line receiver single,U301,1,INA1651IPW,TI,4.80,4.80,DigiKey,4.80,Mouser,4.60,LCSC (TI),3.80,Same footprint as INA1650.
Amp,DC servo,U102 U202 U302,3,OPA1642AID,TI,2.83,8.49,Mouser,2.83,DigiKey,2.80,LCSC (TI),1.90,SOIC-8. OPA1642AIDR is $2.14 at Mouser if you prefer reel.
Amp,Protection comparators,U401 U402,2,LM339DR,TI / onsemi,0.45,0.90,DigiKey,0.45,Mouser,0.40,LCSC,0.12,SOIC-14.
Amp,+30V / +15V regulator,U403 U405,2,LM317TG,onsemi,0.80,1.60,DigiKey,0.80,Mouser,0.75,LCSC (ST LM317T),0.89,TO-220. ST LM317T-DG is $1.90 at DigiKey — the onsemi G suffix is the cheaper authorized buy.
Amp,-30V / -15V regulator,U404 U406,2,LM337TG,onsemi,1.20,2.40,DigiKey,1.20,Mouser,1.10,LCSC (ST LM337T),0.95,TO-220.
Amp,Precision 0805 0.1%,R101 R102 R108 R109 R110 R112 R113 R119 R138 R103 R106 R201… (39 total),39,TNPW0805xxxxBEEA,Vishay,0.60,23.40,DigiKey,0.60,Mouser,0.55,LCSC (Vishay / Panasonic ERA-6AEB),0.25,Values: 100R 220R 287R 68R 115R 2k2 1k 4k42. ERA-6AEB is the Panasonic equivalent. Includes R21=4k42 (design value; old BoM had 3k3).
Amp,Precision 1206 0.1% 0.5W,R137 R237 R337,3,TNPW12062K20BEEA,Vishay,0.85,2.55,DigiKey,0.85,Mouser,0.80,Farnell,0.90,Feedback upper leg.
Amp,Ballast 0.22R non-inductive,R131-R134 x3 ch,12,PWR221T-20-R220F,Bourns,3.80,45.60,DigiKey,3.80,Mouser,3.60,LCSC Caddock MP930-0.20-1%,2.60,TO-220 thick film; 0.1 µH max. Caddock MP930-0.20 is 0.20 Ω not 0.22 — electrically fine; do not use wirewound. Biggest passive cost on the board.
Amp,Zobel / L-damp 10R 3W,R135 R136 x3 ch,6,PWR221T-20-10R0F,Bourns,2.80,16.80,DigiKey,2.80,Mouser,2.60,Vishay PR03 10R (if specified non-inductive),1.80,Same TO-220 family as the ballasts so one heatsink clip style covers both.
Amp,General 0805/1206 1%,base stoppers driver loads bias LED servo protection,70,RC0805FR-07xxxxL / RC1206FR,Yageo,0.10,7.00,DigiKey,0.10,Mouser,0.10,LCSC,0.01,Includes 4R7 1206 stoppers (qty 12) which must not be omitted.
Amp,Zero-ohm link,C6 positions,3,RC0805JR-070RL,Yageo,0.08,0.24,DigiKey,0.08,Mouser,0.08,LCSC,0.01,Replace with 2u2 film only if the DSP has DC offset.
Amp,Gain trim 10k,RV101 RV201 RV301,3,3296W-1-103LF,Bourns,2.39,7.17,DigiKey,2.39,Mouser,2.39,Newark,3.12,25-turn cermet.
Amp,Bias trim 100R,RV102 RV202 RV302,3,3296W-1-101LF,Bourns,2.39,7.17,DigiKey,2.39,Mouser,2.39,Newark,3.12,Design is 100R not the 1k in the old BoM. 3296W-1-102LF is the wrong part.
Amp,Zobel / rail film 100n 100V,C113 C121 C122 x3 ch,9,MKS2D031001A00KI00,WIMA,0.85,7.65,DigiKey / Mouser,0.85,RS,0.90,LCSC (WIMA or Kemet R82),0.40,5 mm pitch. Film not ceramic.
Amp,Servo integrator 2u2 63V,C115 C215 C315,3,MKS4C042205C00KSSD,WIMA,2.40,7.20,DigiKey,2.40,Mouser,2.20,RS,2.60,15 mm pitch MKS4.
Amp,Main rail film bypass 1u 100V,C407-C410,4,MKS4C041005C00KSSD,WIMA,1.30,5.20,DigiKey,1.30,Mouser,1.20,synthcube / specialist,1.30,10 mm pitch.
Amp,Decoupling 100n 50V X7R,per channel + regulators,30,CL21B104KBCNNNC,Samsung,0.12,3.60,DigiKey,0.12,Mouser,0.10,LCSC,0.01,0805.
Amp,10u 25V X7R,C103 C105 x3 ch,6,CL21A106KAYNNNE,Samsung,0.35,2.10,DigiKey,0.35,Mouser,0.30,LCSC (Murata GRM21BR61E106),0.08,0805 line-receiver bulk.
Amp,10u 50V X7R,C123 C124 x3 ch,6,CL21A106KBFNNNE,Samsung,0.55,3.30,DigiKey,0.55,Mouser,0.50,LCSC,0.12,0805 front-end bulk. Confirm 50V rating — 25V is not enough on ±30V.
Amp,1u 50V X7R,C101 C201 C301,3,CL21B105KBFNNNE,Samsung,0.20,0.60,DigiKey,0.20,Mouser,0.18,LCSC,0.04,VMID bypass.
Amp,C0G 220p / 68p / 10p 100V,C107 C109 C114 x3 ch,9,C0805CxxxJ1GACTU,Kemet,0.28,2.52,DigiKey,0.28,Mouser,0.25,LCSC (Samsung CL21C),0.06,C0G mandatory.
Amp,220u 35V FR electrolytic,C119 C120 x3 ch,6,EEU-FR1V221L,Panasonic,0.55,3.30,Mouser,0.55,DigiKey,0.60,LCSC (Nichicon UPW),0.25,8 mm radial.
Amp,4700u 35V FR electrolytic,C401 C402,2,EEU-FR1V472L,Panasonic,3.50,7.00,DigiKey,3.50,Mouser,3.20,Newark,3.80,18 mm radial. Confirm diameter vs layout.
Amp,220u 63V FR,C403-C406,4,EEU-FR1J221L,Panasonic,0.80,3.20,DigiKey,0.80,Mouser,0.75,LCSC,0.35,Aux / regulator reservoirs.
Amp,Output inductor,L101 L201 L301,3,hand-wound 2u2,—,0.40,1.20,Temco 18 AWG magnet wire,0.40/ch,Remington,0.40,local,0.40,~2 m of 1.0 mm wire covers all three. Air core — no ferrite.
Amp,Output relay,K401 K402 K403,3,G4A-1A-PE DC12,Omron,8.21,24.63,Mouser,8.21,DigiKey,8.47,LCSC (Omron),2.20,G8P-1A4P is discontinued (2016). G4A is Omron's suggested replacement: 20 A SPST-NO 12 V. Footprint is NOT G8P. Midbass peak is 10.7 A so 20 A is enough; still consider two in parallel on ch3.
